Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
206,9506.26524,,,4.14E-06,,,,144671,14.4671,27.85,300.0248,,4.14249
207,9506.26624,,,4.24E-06,,,,154978,15.4978,27.85,300.0248,,4.23731
208,9506.26724,,,4.33E-06,,,,167123,16.7123,27.85,300.0248,,4.33232
209,9506.26824,,,4.43E-06,,,,181793,18.1793,27.85,300.0248,,4.42717
210,9506.26924,,,4.52E-06,,,,199689,19.9689,27.85,300.0248,,4.52152
211,9506.27025,,,4.61E-06,,,,221278,22.1278,27.85,300.0248,,4.61498
212,9506.27125,,,4.71E-06,,,,246752,24.6752,27.85,300.0248,,4.70716
213,9506.27225,,,4.80E-06,,,,276317,27.6317,27.85,300.0248,,4.79791
214,9506.27325,,,4.89E-06,,,,310204,31.0204,27.85,300.0248,,4.88721
215,9506.27425,,,4.98E-06,,,,348680,34.868,27.85,300.0248,,4.97505
216,9506.27525,,,5.06E-06,,,,391759,39.1759,27.85,300.0248,,5.06142
217,9506.27625,,,5.15E-06,,,,438807,43.8807,27.85,300.0248,,5.14633
218,9506.27725,,,5.23E-06,,,,489058,48.9058,27.85,300.0248,,5.2298
219,9506.27826,,,5.31E-06,,,,541680,54.168,27.85,300.0248,,5.31188
220,9506.27926,,,5.39E-06,,,,595780,59.578,27.85,300.0248,,5.39262
221,9506.28026,,,5.47E-06,,,,650709,65.0709,27.85,300.0248,,5.47212
222,9506.28126,,,5.55E-06,,,,708085,70.8085,27.85,300.0248,,5.55046
223,9506.28226,,,5.63E-06,,,,770748,77.0748,27.85,300.0248,,5.62774
224,9506.28326,,,5.70E-06,,,,841857,84.1857,27.85,300.0248,,5.70408
225,9506.28426,,,5.78E-06,,,,924987,92.4987,27.85,300.0248,,5.77956
226,9506.28526,,,5.85E-06,,,,1024290,102.429,27.85,300.0248,,5.85391
227,9506.28627,,,5.93E-06,,,,1144730,114.473,27.85,300.0248,,5.92652
228,9506.28727,,,6.00E-06,,,,1292240,129.224,27.85,300.0248,,5.99679
229,9506.28827,,,6.06E-06,,,,1468950,146.895,27.85,300.0248,,6.06406
230,9506.28927,,,6.13E-06,,,,1671710,167.171,27.85,300.0248,,6.12765
231,9506.29027,,,6.19E-06,,,,1895870,189.587,27.85,300.0248,,6.18687
232,9506.29127,,,6.24E-06,,,,2134750,213.475,27.85,300.0248,,6.24101
233,9506.29227,,,6.29E-06,,,,2378960,237.896,27.85,300.0248,,6.28932
234,9506.29327,,,6.33E-06,,,,2618800,261.88,27.85,300.0248,,6.33109
235,9506.29428,,,6.37E-06,,,,2848330,284.833,27.85,300.0248,,6.36558
236,9506.29528,,,6.39E-06,,,,3061400,306.14,27.85,300.0248,,6.39207
237,9506.29628,,,6.41E-06,,,,3251280,325.128,27.85,300.0248,,6.41009
238,9506.29728,,,6.42E-06,,,,3410860,341.086,27.85,300.0248,,6.41949
239,9506.29828,,,6.42E-06,,,,3533220,353.322,27.85,300.0248,,6.4202
240,9506.29928,,,6.41E-06,,,,3613720,361.372,27.85,300.0248,,6.41219
241,9506.30028,,,6.40E-06,,,,3650700,365.07,27.85,300.0248,,6.3955
242,9506.30128,,,6.37E-06,,,,3644100,364.41,27.85,300.0248,,6.37016
243,9506.30229,,,6.34E-06,,,,3595380,359.538,27.85,300.0248,,6.3363
244,9506.30329,,,6.29E-06,,,,3507320,350.732,27.85,300.0248,,6.29405
245,9506.30429,,,6.24E-06,,,,3383450,338.345,27.85,300.0248,,6.24359
246,9506.30529,,,6.19E-06,,,,3227370,322.737,27.85,300.0248,,6.18516
247,9506.30629,,,6.12E-06,,,,3043290,304.329,27.85,300.0248,,6.11903
248,9506.30729,,,6.05E-06,,,,2835820,283.582,27.85,300.0248,,6.04588
249,9506.30829,,,5.97E-06,,,,2609760,260.976,27.85,300.0248,,5.9667
